"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7398","Contact modal opens and closes","firefox","2026-07-09","passed","2026-07-09","Navigation","navigation.spec.js","",""
"","7204","Verify Home Page","firefox","2026-07-09","passed","2026-07-09","","home.spec.js","",""
"","21994","End-to-End Purchase Flow","webkit","2026-07-09","passed","2026-07-09","","smoke.spec.js","",""
"","4873","Home link and logo are visible","firefox","2026-07-09","passed","2026-07-09","Navigation","navigation.spec.js","",""
"","20788","Complete Purchase","firefox","2026-07-09","passed","2026-07-09","","checkout.spec.js","",""
"","3738","Home link and logo are visible","chromium","2026-07-09","passed","2026-07-09","Navigation","navigation.spec.js","",""
"","5066","Filter by Monitors","chromium","2026-07-09","passed","2026-07-09","Category Filters","category.spec.js","",""
"","3799","Register New User","chromium","2026-07-09","passed","2026-07-09","","signup.spec.js","",""
"","12297","Delete Product","chromium","2026-07-09","passed","2026-07-09","","cart.spec.js","",""
"","5920","About Us modal opens and closes","chromium","2026-07-09","passed","2026-07-09","Navigation","navigation.spec.js","",""
"","8930","Register New User","webkit","2026-07-09","passed","2026-07-09","","signup.spec.js","",""
"","13189","Add Product to Cart","firefox","2026-07-09","passed","2026-07-09","","Addcartpage.spec.js","",""
"","4330","Filter by Laptops","chromium","2026-07-09","passed","2026-07-09","Category Filters","category.spec.js","",""
"","19694","End-to-End Purchase Flow","chromium","2026-07-09","passed","2026-07-09","","smoke.spec.js","",""
